t-12,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,t
22.09404755,24.0196209,24.80766106,24.33768845,27.03442574,27.20892525,18.888834,15.51583576,20.62275696,23.02759361,25.77277184,28.07037926,29.05091667
24.0196209,24.80766106,24.33768845,27.03442574,27.20892525,18.888834,15.51583576,20.62275696,23.02759361,25.77277184,28.07037926,29.05091667,29.689394
24.80766106,24.33768845,27.03442574,27.20892525,18.888834,15.51583576,20.62275696,23.02759361,25.77277184,28.07037926,29.05091667,29.689394,30.25225449
24.33768845,27.03442574,27.20892525,18.888834,15.51583576,20.62275696,23.02759361,25.77277184,28.07037926,29.05091667,29.689394,30.25225449,26.53948593
27.03442574,27.20892525,18.888834,15.51583576,20.62275696,23.02759361,25.77277184,28.07037926,29.05091667,29.689394,30.25225449,26.53948593,31.71903801
27.20892525,18.888834,15.51583576,20.62275696,23.02759361,25.77277184,28.07037926,29.05091667,29.689394,30.25225449,26.53948593,31.71903801,28.39293861
18.888834,15.51583576,20.62275696,23.02759361,25.77277184,28.07037926,29.05091667,29.689394,30.25225449,26.53948593,31.71903801,28.39293861,30.83386993
15.51583576,20.62275696,23.02759361,25.77277184,28.07037926,29.05091667,29.689394,30.25225449,26.53948593,31.71903801,28.39293861,30.83386993,27.77119827
20.62275696,23.02759361,25.77277184,28.07037926,29.05091667,29.689394,30.25225449,26.53948593,31.71903801,28.39293861,30.83386993,27.77119827,32.32538986
23.02759361,25.77277184,28.07037926,29.05091667,29.689394,30.25225449,26.53948593,31.71903801,28.39293861,30.83386993,27.77119827,32.32538986,28.62046432
25.77277184,28.07037926,29.05091667,29.689394,30.25225449,26.53948593,31.71903801,28.39293861,30.83386993,27.77119827,32.32538986,28.62046432,28.78255272
28.07037926,29.05091667,29.689394,30.25225449,26.53948593,31.71903801,28.39293861,30.83386993,27.77119827,32.32538986,28.62046432,28.78255272,30.06316948
29.05091667,29.689394,30.25225449,26.53948593,31.71903801,28.39293861,30.83386993,27.77119827,32.32538986,28.62046432,28.78255272,30.06316948,29.66728973
29.689394,30.25225449,26.53948593,31.71903801,28.39293861,30.83386993,27.77119827,32.32538986,28.62046432,28.78255272,30.06316948,29.66728973,32.4849968
30.25225449,26.53948593,31.71903801,28.39293861,30.83386993,27.77119827,32.32538986,28.62046432,28.78255272,30.06316948,29.66728973,32.4849968,27.01305771
26.53948593,31.71903801,28.39293861,30.83386993,27.77119827,32.32538986,28.62046432,28.78255272,30.06316948,29.66728973,32.4849968,27.01305771,27.97278976
31.71903801,28.39293861,30.83386993,27.77119827,32.32538986,28.62046432,28.78255272,30.06316948,29.66728973,32.4849968,27.01305771,27.97278976,25.87775803
28.39293861,30.83386993,27.77119827,32.32538986,28.62046432,28.78255272,30.06316948,29.66728973,32.4849968,27.01305771,27.97278976,25.87775803,28.18026352
30.83386993,27.77119827,32.32538986,28.62046432,28.78255272,30.06316948,29.66728973,32.4849968,27.01305771,27.97278976,25.87775803,28.18026352,31.60999298
27.77119827,32.32538986,28.62046432,28.78255272,30.06316948,29.66728973,32.4849968,27.01305771,27.97278976,25.87775803,28.18026352,31.60999298,26.12950516
32.32538986,28.62046432,28.78255272,30.06316948,29.66728973,32.4849968,27.01305771,27.97278976,25.87775803,28.18026352,31.60999298,26.12950516,25.91797066
28.62046432,28.78255272,30.06316948,29.66728973,32.4849968,27.01305771,27.97278976,25.87775803,28.18026352,31.60999298,26.12950516,25.91797066,21.00496101
28.78255272,30.06316948,29.66728973,32.4849968,27.01305771,27.97278976,25.87775803,28.18026352,31.60999298,26.12950516,25.91797066,21.00496101,25.88238144
30.06316948,29.66728973,32.4849968,27.01305771,27.97278976,25.87775803,28.18026352,31.60999298,26.12950516,25.91797066,21.00496101,25.88238144,31.5532074
29.66728973,32.4849968,27.01305771,27.97278976,25.87775803,28.18026352,31.60999298,26.12950516,25.91797066,21.00496101,25.88238144,31.5532074,26.77345467
32.4849968,27.01305771,27.97278976,25.87775803,28.18026352,31.60999298,26.12950516,25.91797066,21.00496101,25.88238144,31.5532074,26.77345467,25.76358032
27.01305771,27.97278976,25.87775803,28.18026352,31.60999298,26.12950516,25.91797066,21.00496101,25.88238144,31.5532074,26.77345467,25.76358032,27.75773811
27.97278976,25.87775803,28.18026352,31.60999298,26.12950516,25.91797066,21.00496101,25.88238144,31.5532074,26.77345467,25.76358032,27.75773811,28.43461418
25.87775803,28.18026352,31.60999298,26.12950516,25.91797066,21.00496101,25.88238144,31.5532074,26.77345467,25.76358032,27.75773811,28.43461418,25.72710419
28.18026352,31.60999298,26.12950516,25.91797066,21.00496101,25.88238144,31.5532074,26.77345467,25.76358032,27.75773811,28.43461418,25.72710419,25.23757744
31.60999298,26.12950516,25.91797066,21.00496101,25.88238144,31.5532074,26.77345467,25.76358032,27.75773811,28.43461418,25.72710419,25.23757744,22.96445084
26.12950516,25.91797066,21.00496101,25.88238144,31.5532074,26.77345467,25.76358032,27.75773811,28.43461418,25.72710419,25.23757744,22.96445084,19.90446281
25.91797066,21.00496101,25.88238144,31.5532074,26.77345467,25.76358032,27.75773811,28.43461418,25.72710419,25.23757744,22.96445084,19.90446281,20.81195068
21.00496101,25.88238144,31.5532074,26.77345467,25.76358032,27.75773811,28.43461418,25.72710419,25.23757744,22.96445084,19.90446281,20.81195068,22.20099068
25.88238144,31.5532074,26.77345467,25.76358032,27.75773811,28.43461418,25.72710419,25.23757744,22.96445084,19.90446281,20.81195068,22.20099068,21.39464188
31.5532074,26.77345467,25.76358032,27.75773811,28.43461418,25.72710419,25.23757744,22.96445084,19.90446281,20.81195068,22.20099068,21.39464188,20.2301445
26.77345467,25.76358032,27.75773811,28.43461418,25.72710419,25.23757744,22.96445084,19.90446281,20.81195068,22.20099068,21.39464188,20.2301445,17.37832069
25.76358032,27.75773811,28.43461418,25.72710419,25.23757744,22.96445084,19.90446281,20.81195068,22.20099068,21.39464188,20.2301445,17.37832069,21.18075562
27.75773811,28.43461418,25.72710419,25.23757744,22.96445084,19.90446281,20.81195068,22.20099068,21.39464188,20.2301445,17.37832069,21.18075562,21.05673981
28.43461418,25.72710419,25.23757744,22.96445084,19.90446281,20.81195068,22.20099068,21.39464188,20.2301445,17.37832069,21.18075562,21.05673981,21.56666565
25.72710419,25.23757744,22.96445084,19.90446281,20.81195068,22.20099068,21.39464188,20.2301445,17.37832069,21.18075562,21.05673981,21.56666565,20.34884644
25.23757744,22.96445084,19.90446281,20.81195068,22.20099068,21.39464188,20.2301445,17.37832069,21.18075562,21.05673981,21.56666565,20.34884644,15.13780403
