St. Louis, Missouri, Average Temperature
Units: Degrees Fahrenheit,,
Base Period: 1938-2000,,
Missing: -99,,
Date,Value,Anomaly
201409,69.6,-0.2
201410,59,0.2
201411,40.3,-4.6
201412,38.4,4.1
201501,32.8,2.7
201502,26.3,-8.6
201503,46,1.8
201504,59.8,3.6
201505,69.1,3
201506,77.1,1.8
201507,80.1,0.7
201508,77.3,-0.4
201509,74.6,4.8
201510,60.6,1.8
201511,51.2,6.3
201512,45,10.7
201601,33.4,3.3
201602,39.8,4.9
201603,52.6,8.4
201604,59.4,3.2
201605,65.9,-0.2
201606,80.8,5.5
201607,81.1,1.7
201608,80.3,2.6
201609,74.9,5.1
201610,65.1,6.3
201611,51.7,6.8
201612,34.3,0
201701,37.5,7.4
201702,47.2,12.3
201703,49.5,5.3
201704,61.8,5.6
201705,68.2,2.1
201706,77.9,2.6
201707,83.8,4.4
201708,75.2,-2.5
201709,72.7,2.9
201710,61.6,2.8
201711,48.1,3.2
201712,34.9,0.6
201801,29.8,-0.3
201802,38,3.1
201803,43.1,-1.1
201804,49.9,-6.3
201805,75.4,9.3
201806,80.3,5
201807,80.3,0.9
201808,79.7,2
201809,74.8,5
201810,59.6,0.8
201811,38.9,-6
201812,39,4.7
201901,30.8,0.7
